fitment_vehicle_name,fitment_vehicle_handle,fitment_vehicle_gid,metaobject_type,aliases,updated_at,year,make,engine_liter,engine_family,engine_code,fields_json
2005 Dodge/Ram 5.9L Cummins,2005-dodge-ram-5-9l-cummins,gid://shopify/Metaobject/279911694701,fitment_vehicle,,2026-01-31T01:09:24Z,2005,ram,5.9L,cummins,,"{""year"": ""2005"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""5.9L Cummins"", ""display_name"": ""2005 Dodge/Ram 5.9L Cummins""}"
2005 Sprinter 2.7L,2005-sprinter-2-7l,gid://shopify/Metaobject/279917855085,fitment_vehicle,,2026-01-31T01:11:09Z,2005,sprinter,2.7L,,,"{""year"": ""2005"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""2.7L"", ""display_name"": ""2005 Sprinter 2.7L""}"
2005 Volkswagen 1.6L TDI,2005-volkswagen-1-6l-tdi,gid://shopify/Metaobject/279917658477,fitment_vehicle,,2026-01-31T01:11:06Z,2005,volkswagen,1.6L,,TDI,"{""year"": ""2005"", ""make"": ""Volkswagen"", ""model"": """", ""engine"": ""1.6L TDI"", ""display_name"": ""2005 Volkswagen 1.6L TDI""}"
2006 Chevrolet 6.6L Duramax LLY/LBZ,2006-chevrolet-6-6l-duramax-lly-lbz,gid://shopify/Metaobject/279910482285,fitment_vehicle,,2026-01-31T01:09:03Z,2006,chevrolet,6.6L,duramax,LLY,"{""year"": ""2006"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LLY/LBZ"", ""display_name"": ""2006 Chevrolet 6.6L Duramax LLY/LBZ""}"
2006 Ford 6.0L Powerstroke,2006-ford-6-0l-powerstroke,gid://shopify/Metaobject/279912972653,fitment_vehicle,,2026-01-31T01:09:46Z,2006,ford,6.0L,powerstroke,,"{""year"": ""2006"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.0L Powerstroke"", ""display_name"": ""2006 Ford 6.0L Powerstroke""}"
2006 GMC 6.6L Duramax LLY/LBZ,2006-gmc-6-6l-duramax-lly-lbz,gid://shopify/Metaobject/279910515053,fitment_vehicle,,2026-01-31T01:09:03Z,2006,gmc,6.6L,duramax,LLY,"{""year"": ""2006"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LLY/LBZ"", ""display_name"": ""2006 GMC 6.6L Duramax LLY/LBZ""}"
2006 Jeep 2.8L CRD Liberty,2006-jeep-2-8l-crd-liberty,gid://shopify/Metaobject/279918248301,fitment_vehicle,,2026-01-31T01:11:16Z,2006,jeep,2.8L,,CRD,"{""year"": ""2006"", ""make"": ""Jeep"", ""model"": """", ""engine"": ""2.8L CRD Liberty"", ""display_name"": ""2006 Jeep 2.8L CRD Liberty""}"
2006 Dodge/Ram 5.9L Cummins,2006-dodge-ram-5-9l-cummins,gid://shopify/Metaobject/279911727469,fitment_vehicle,,2026-01-31T01:09:24Z,2006,ram,5.9L,cummins,,"{""year"": ""2006"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""5.9L Cummins"", ""display_name"": ""2006 Dodge/Ram 5.9L Cummins""}"
2006 Sprinter 2.7L,2006-sprinter-2-7l,gid://shopify/Metaobject/279917887853,fitment_vehicle,,2026-01-31T01:11:10Z,2006,sprinter,2.7L,,,"{""year"": ""2006"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""2.7L"", ""display_name"": ""2006 Sprinter 2.7L""}"
2006 Volkswagen 1.6L TDI,2006-volkswagen-1-6l-tdi,gid://shopify/Metaobject/279917986157,fitment_vehicle,,2026-01-31T01:11:12Z,2006,volkswagen,1.6L,,TDI,"{""year"": ""2006"", ""make"": ""Volkswagen"", ""model"": """", ""engine"": ""1.6L TDI"", ""display_name"": ""2006 Volkswagen 1.6L TDI""}"
2007 Chevrolet 6.6L Duramax LLY/LBZ,2007-chevrolet-6-6l-duramax-lly-lbz,gid://shopify/Metaobject/279910547821,fitment_vehicle,,2026-01-31T01:09:04Z,2007,chevrolet,6.6L,duramax,LLY,"{""year"": ""2007"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LLY/LBZ"", ""display_name"": ""2007 Chevrolet 6.6L Duramax LLY/LBZ""}"
2007.5 Chevrolet 6.6L Duramax LMM,2007-5-chevrolet-6-6l-duramax-lmm,gid://shopify/Metaobject/279910613357,fitment_vehicle,,2026-01-31T01:09:05Z,2007,chevrolet,6.6L,duramax,LMM,"{""year"": ""2007.5"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LMM"", ""display_name"": ""2007.5 Chevrolet 6.6L Duramax LMM""}"
2007 Ford 6.0L Powerstroke,2007-ford-6-0l-powerstroke,gid://shopify/Metaobject/279913005421,fitment_vehicle,,2026-01-31T01:09:46Z,2007,ford,6.0L,powerstroke,,"{""year"": ""2007"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.0L Powerstroke"", ""display_name"": ""2007 Ford 6.0L Powerstroke""}"
