f,,,,,,,,
,,,,,,,,
Manufacturer,Supplier,Average Discount from MAP,Reseller's Discount,,,,,
Taillights,,20.00%,,,,,,
Cab Lights,,23.53%,,"Priced at $85, but CP sells for $80.  Did so in order to maintain margin",,,,
2WD Leveling Kit,,23.20%,,,,,,
4 Gauge Pod (Quad Pod),,23.53%,,"Priced at $85, but CP sells for $80.  Did so in order to maintain margin",,,,
CP-Carrillo,CP-Carrillo,25.00%,,,,,,
Crown Performance Products,Crown Performance Products,42.40%,20.00%,,,,,
CSF Radiators,XDP,25.00%,,,,,,
,P1 Performance,22.21%,,,,,,
Cummins,Power Distributing,30.00%,,our pricing is 6% below the pricing as shown in dealer portal,,,,
,Performance Turbo,,,,,,,
Custom Battery Cables,Custom Battery Cables,30.00%,,,,,,
,Dropships,15.00%,,,,,,
Customs Unlimited,Customs Unlimited,40.00%,,,,,,
Dayco,,,,Selling at Jobber,,,,
,Dayco,38.40%,,"$4,000 freight prepaid stock order; 2% 2nd, 15th prox., priced at Jobber",,,,
,XDP,20.00%,,"XDP adjusted their price down 10%, bringing our margin from them to about 11%",,,,
,Keystone,25.00%,,,,,,
Daystar,PPPWD/Transamerican/CSI,26.00%,10.00%,,,,,
DC Power Alternators,DC Power - Stock Order,30.00%,15.00%,,,,,
,DC Power - Drop Ship,20.00%,,,,,,
DDC Wheels,DDC Wheels,25.00%,,$500 freight charge to every invoice,,,,
Deaver Spring,Deaver Spring,20.00%,5.00%,,,,,
Detroit,Nitro,20.00%,,,,,,
DiabloSport,PPPWD,,,,,,,
*DiabloSport Trinity,PPPWD,20.00%,10.00%,,,,,
*DiabloSport Trinity,Turn 14,32.80%,10.00%,,,,,
*DiabloSport Intune,PPPWD,32.52%,10.00%,,,,,
*DiabloSport Extreme Power Puck,PPPWD,21.54%,0.00%,,,,,
*DiabloSprt InTune,Thunder,28.00%,,,,,,
*DiabloSport Extreme Puck,Thunder,24.00%,,,,,,
*DiabloSport,XDP,25.00%,,,,,,
*DiabloSport from Thunder,,,,Free Ground Shipping,,,,
*DiabloSport,Powerteq,30.00%,,,,,,
Diamond Advantage,Diamond Advantage,20-30%,,"Most items are 30%, some at 20% (engines are only 15%); we get free shipping on all Ground orders over $500 coming here; engines and transmissions are free freight going anywhere. We're charged 10% of the value of the order for shipping, or $30 flat rate, whichever is greater.",,,,
,XDP,21.76%,,,,,,
Diamond Eye Mfg.,Diamond Eye Mfg.,38.00%,10.00%,52.9% back of Jobber | $3 DS Fee,,,additional 4% with stock order over $7500 with free freight,
,Premier,,,49% back of Jobber,,Flat rate shipping of $25 for complete TB exhausts.  Others are $4 or $8 flat rate,,
,Meyer,,,47% back of Jobber,,"Flat rate shipping of $25 for items over $150, and $12 for items below $150",,
Diesel Power Products,,,,,,,,
*DPP Spectre Turbo Line,Turbo Resource,,TBD,,,,,
     -62/62 with both billet,,24.23%,TBD,,,,,
     -66/67 with both billet,,40.60%,TBD,,,,,
*DPP Eibach Springs,Eibach,60.87%,20.00%,,,,,
*DPP TRC Filter,TRC,39.76%,20.00%,,,,,
*DPP Silicon Hoses,Flex Technologies,50.00%,25.00%,,,,,
*DPP F-Bomb,,74.58%,25%=Case | 35%=10 Cases | 45%=Pallet (w/ Free Freight),,,,,
*DPP Hellfire,,76.45%,25%=Case | 35%=10 Cases | 45%=Pallet (w/ Free Freight),,,,,
*DPP VE Pump TPS Bracket,,,20.00%,,,,,
*DPP 9mm Crush Sleeve Adapter,Mumau,21.79%,5.00%,,,,,
Diesel Pros,Diesel Pros,26.66%,10.00%,,,,,
Diesel Rx,PPPWD,,,,,,,
*Diesel Rx Glow Plugs,,35.90%,20.00%,,,,,
*Diesel Rx Glow Plugs #DRX00088,,43.94%,20.00%,,,,,
*Diesel Rx Glow Plug Controller,,49.00%,20.00%,,,,,
*Diesel Rx Glow Plug Controller #DRX01003,,55.05%,20.00%,,,,,
DieselSite,DieselSite,,,,,,,
*DieselSite Wicked Wheels,,30.80%,10.00%,,,,,
*DieselSite Wicked Wheels 11-15 6.7L Ford Powerstroke,,26.14%,10.00%,,,,,
*DieselSite Wicked Wheels 08-10 6.4L Ford Powerstroke,,28.32%,10.00%,,,,,
*DieselSite Adrenaline HPOP 96-03,,20.00%,0.00%,,,,,
*DieselSite Adrenaline HPOP 96-03 with reinforced threads,,20.00%,0.00%,,,,,
*DieselSite Adrenaline HPOP 94-95,,20.00%,0.00%,,,,,
*DieselSite Adrenaline HPOP 94-95 with reinforced threads,,20.00%,0.00%,,,,,
*DieselSite Adrenaline Billet HPOP,,20.00%,0.00%,,,,,
*DieselSite Fuel Filter Kit for 6.7L Powerstroke,,,,MAP = 699 / 1-4 units $582 / 5-9 units $569 / 10-24 units $525 / 25+ units $502,,,,
Diode Dynamics,,,,,,,,
,Keystone,25.00%,,,,,,
,Premier,20.00%,,,,,,
,Turn 14,30.00%,,,,,,
,Meyer,13.60%,,,,,,
Dipaco Diesel Parts,Diesel Forward,35.00%,15.00%,,,,,
,,,,,,,,
Dirt Church Industries,Dirt Church Industries,23.00%,,"order four kits at a time, and get free shipping",,,,
Dorman,Meyer,,10.00%,,,,,
,Turn 14,,,,,,,
,XDP,17.65%-34.44%,,varies but matched pricing with XDP as we'll be going direct via Pronto and need to be competitive,,,,
,,,,,,,,
DP-Tuner,DP-Tuner,15.00%,0.00%,,,,,
DPPI,,,,,,,,
*DPPI 6.0L Head,,28.52%,10.00%,,,,,
Draw-Tite,,25.00%,,,,,,
Driven Diesel,Strictly Diesel,,,,,,,
*Driven Diesel Price Level A,,27.00%,,,,,,
*Driven Diesel Price Level B,,23.00%,,,,,,
*Driven Diesel Price Level C,,18.00%,,,,,,
DTT Performance,DTT Performance/DPPI,,,,,,,
*DTT Billet Anchor,,63.86%,25.00%,,,,,
*DTT Billet Strut,,63.86%,25.00%,,,,,
*DTT Billet Apply Lever,,57.26%,25.00%,,,,,
*DTT Billet Servo,,52.17%,25.00%,,,,,
*DTT Billet Accumulator,,59.21%,25.00%,,,,,
Dynomite,Dynomite,28.42%,10.00%,MSRP-32% (MAP is 5% off MSRP) + 2% Quarterly Rebate + $500 monthly co-op,,,,
Dynatrac,Dynatrac,,,,,,,
*Dynatrac Balljoints,,25.00%,10.00%,30% if purchase 30 Dodge Ball Joints at a time - offer only applies to 3rd / 4th Gen Dodge,,,,
*Dynatrac Free Spin Kits,,25.00%,10.00%,,,,,
*Dynatrac Hub / Rotor Assemblies,,32.00%,10.00%,,,,,
*Dynaloc Locking Hubs,,18.00%,5.00%,,,,,
Eastern Industries (Water Pumps),Power Distributing,26-42%,15.00%,,,,,
EBC Brakes,Turn14,34.74%,25.00%,,,,,
Edge Products,,,15.00%,,,,,
*Edge Evolution #15000,,20.01%,5.00%,,,,,
*Edge from XDP,,20.45%,,,,,,
*Edge from Premier,,24.00%,,Free NDA shipping is included,,,,
*Edge from Holley,,30.00%,,5% Dropship Fee,,,,
*Edge Evolution CTS3 from Edge,,35.00%,,,,,,
EMF,EMF,25.00%,10.00%,,,,,
