vendor,display_name,search_family,interaction_strategy,runtime_preference,blocking_risk,verification_level,sku,scrape_status,scrape_fields_found,scrape_error,search_provider,product_url,title,vendor_value,type,google_product_type,category_code,product_subtype,description_found,media_count,collections,tags,core_complete,remove_marked,remove_reason,excluded,exclusion_reason
American Racing Wheels | ATX Series,American Racing Wheels | ATX Series,magento_catalogsearch,,browser_first,low,verified,AR-AR1726882,success check,"title, description_html, vendor",,,https://www.atxwheels.com/catalogsearch/result/index/,American Racing HD Search results for: 'AR AR1726882',American Racing HD,Wheel & Tire,Motor Vehicle Tire Accessories,Wheel & Tire,Wheels,yes,0,,ford,yes,,,,
American Racing Wheels | ATX Series,American Racing Wheels | ATX Series,magento_catalogsearch,,browser_first,low,verified,AR-AR1726882B,success check,"title, description_html, vendor",,,https://www.atxwheels.com/catalogsearch/result/index/,American Racing HD Search results for: 'AR AR1726882B',American Racing HD,Wheel & Tire,Motor Vehicle Tire Accessories,Wheel & Tire,Wheels,yes,0,,ford,yes,,,,
Auto Meter,Auto Meter,magento_catalogsearch,,http_first_with_browser_fallback,medium,verified,AM-8549,fail X,,https://www.autometer.com/catalogsearch/result?q=AM-8549 (Bot challenge page detected),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Auto Meter,Auto Meter,magento_catalogsearch,,http_first_with_browser_fallback,medium,verified,AM-8550,fail X,,https://www.autometer.com/catalogsearch/result?q=AM-8550 (Bot challenge page detected),,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Black Rhino Wheels,Black Rhino Wheels,magento_catalogsearch,,http_first,low,verified,BRW-1795ARY-88170D25,success check,"title, description_html, media_urls, vendor, media_local_files",,,https://www.blackrhinowheels.com/catalogsearch/result/index/,Bubba Rope Search results for: 'BRW-1795ARY-88170D25' Black Rhino,Bubba Rope,Wheel & Tire,Off-Road and All-Terrain Vehicle Rims & Wheels,Wheel & Tire,Wheels,yes,0,,electrictruck | benefits,yes,,,,
Black Rhino Wheels,Black Rhino Wheels,magento_catalogsearch,,http_first,low,verified,BRW-1795ARY-88170G25,success check,"title, description_html, media_urls, vendor, media_local_files",,,https://www.blackrhinowheels.com/catalogsearch/result/index/,Bubba Rope Search results for: 'BRW-1795ARY-88170G25' Black Rhino,Bubba Rope,Wheel & Tire,Off-Road and All-Terrain Vehicle Rims & Wheels,Wheel & Tire,Wheels,yes,0,,electrictruck | benefits,yes,,,,
Borne Off-Road,Borne Off-Road,magento_catalogsearch,,browser_first,high,verified,BOR-BNKR-34,success check,"title, media_urls, vendor, media_local_files",,,https://www.borne.com/catalogsearch/result/?q=BOR-BNKR-34,Borne Off-Road,Borne Off-Road,,Motor Vehicle Parts,,,,0,,,,,,,
Borne Off-Road,Borne Off-Road,magento_catalogsearch,,browser_first,high,verified,BOR-BNSB-8,success check,"title, media_urls, vendor, media_local_files",,,https://www.borne.com/catalogsearch/result/?q=BOR-BNSB-8,Borne Off-Road,Borne Off-Road,,Motor Vehicle Parts,,,,0,,,,,,,
Cognito Motorsports Suspension,Cognito Motorsports Suspension,magento_catalogsearch,,http_first,low,verified,CM-110-90283,success check,"title, description_html, media_urls, vendor, media_local_files",,,https://cognitomotorsports.com/catalogsearch/result/?q=CM-110-90283,Search results for: 'CM-110-90283' for: 'CM-110-90283',Search results for: 'CM-110-90283',Suspension & Steering,Motor Vehicle Suspension Parts,Suspension & Steering,,yes,0,,duramaxsteering | carlisuspension,yes,,,,
Cognito Motorsports Suspension,Cognito Motorsports Suspension,magento_catalogsearch,,http_first,low,verified,CM-110-90715,success check,"title, description_html, media_urls, vendor, media_local_files",,,https://cognitomotorsports.com/catalogsearch/result/?q=CM-110-90715,Search results for: 'CM-110-90715' for: 'CM-110-90715',Search results for: 'CM-110-90715',Suspension & Steering,Motor Vehicle Suspension Parts,Suspension & Steering,,yes,0,,duramaxsteering | carlisuspension,yes,,,,
Diode Dynamics,Diode Dynamics,magento_catalogsearch,,http_first,low,detected,DD-DD7120,success check,"title, description_html, media_urls, vendor, media_local_files",,,https://www.diodedynamics.com/catalogsearch/result,Search results for: 'DD-DD7120' for: 'DD DD7120',Search results for: 'DD-DD7120',Lighting,Motor Vehicle Lighting,Lighting,Fog Lights,yes,0,,headlights,yes,,,,
Diode Dynamics,Diode Dynamics,magento_catalogsearch,,http_first,low,detected,DD-DD7127,success check,"title, description_html, media_urls, vendor, media_local_files",,,https://www.diodedynamics.com/catalogsearch/result,Search results for: 'DD-DD7127' for: 'DD DD7127',Search results for: 'DD-DD7127',Lighting,Motor Vehicle Lighting,Lighting,Fog Lights,yes,0,,headlights,yes,,,,
